,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,Condition3Values,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
19, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,Identified and unapproved source in $2,no $1 or $0 that can be converted into a rwo uri,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
20,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
21,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is provided and maps to any RDA URI from the Agent Relator Transformation Table.,Agent Relator Table,no $2,no $1 or $0 that can be converted into a rwo uri,,RDA URI in table,RDA element in table,structured ,,"<WorkIRI> RDA URI <corporate body IRI>
<corporate body IRI> rdaad:P50375  ""value of a, c, d, e, g, n, q, u"". // has access point for  corporate body",,
22, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and approved source in $2,no $1 or $0 that can be converted into a rwo uri,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<NomenIRI>  rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <IRI for $2> . // has scheme of nomen",,
23, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and unapproved source in $2,no $1 or $0 that can be converted into a rwo uri,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
24,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
25,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,no $1 or $0 that can be converted into a rwo uri,5,https://www.rdaregistry.info/Elements/i/object/#P40075,has related corporate body of item,structured ,,"<ItemIRI> has related corporate body of item <corporate body IRI>
<corporate body IRI> rdaad:P50375 ""value of a, c, d, e, g, n, q, u"". // has access point for corporate body",,
26, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,Identified and unapproved source in $2,no $1 or $0 that can be converted into a rwo uri,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured , ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<NomenIRI>  rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <IRI for $2> . // has scheme of nomen",,
27, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured , ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaao:P50375 <nomenIRI>. // has access point for corporate body
<NomenIRI>  rdand:P80068""value of a, c, d, e, g, n, q, u"" . // has nomen string
<NomenIRI>  rdano:P80069 <transform> . // has scheme of nomen",,
28,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured , ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaao:P50407 <nomenIRI>. // has authorized access point for corporate body
<nomenIRI> rdand:P80068 ""value of a, c, d, e, g, n, q, u"" . // has nomen string
<nomenIRI> rdano:P80069 <http://id.loc.gov/authorities/names > . // has scheme of nomen",,
29,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, g, n, q, u",,,,no $t,only name portion,The record is not describing an aggregate manifestation,check aggregate markers ,$e or $4 is not provided or is provided with a value that does not map to any RDA URI from the Agent Relator Transformation Table,,no $2,no $1 or $0 that can be converted into a rwo uri,no $5,https://www.rdaregistry.info/Elements/m/object/#P30270,has related corporate body of manifestation,structured , ,"<ManifestationIRI> has related corporate body of manifestation <corporate body IRI>
<corporate body IRI> rdaad:P50375 ""value of a, c, d, e, g, n, q, u"" . // has access point for corporate body",,
30, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,Identified and approved source in $2, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI."," <ManifestationIRI> has related work of manifestation <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work  ""value of a, c, d, e, f, g, h, k, l, n, p, q, s, t, u""",,
31, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,Identified and unapproved source in $2, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work <NomenIRI>
<NomenIRI> has nomen string  ""value of a, c, d, e, f, g, h, k, l, n, p, q, s, t, u"" in order of appearance
<NomenIRI> has scheme of nomen <transform>",,
32, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,No source in $2 with approved $1, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<ManifestationIRI> has related work of manifestation <$1>
<$1> rdawd:P10002 ""stringified $0"" .// has identifier for work
<$1> has AAP for Associated Work ""value of a, b, c, d, f, g, j, k, l, m, n, o, p, q, r, s, t, u""", ,
33, ,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,No source in $2 with unapproved $1, ,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI.","<ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> rdawd:P10002 ""stringified $0"" .// has identifier for work
<Associated WorkIRI> rdawd:P10002 ""stringified $1"" .// has identifier for work
<Associated WorkIRI> has AP for Associated Work  ""value of a, c, d, e, f, g, h, k, l, n, p, q, s, t, u"" ",,
34,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2,$1|$0 from id.loc.gov,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI, ," <ManifestationIRI> has related work of manifestation <$1|$0>
<$1|$0> has AAP for Associated Work ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u""",,
35,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,$1|$0,,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2,$1|$0 not from id.loc.gov,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,IRI,"Since transformation coding cannot tell whether a heading in an Associated added entry field is for a work vs an expression, or an aggregating work, a multi-part work, or a single-part work, we must use ‘has related work of manifestation’ as our default relationship between a described WEMI and an associated WEMI. We do this even if we have a Relator value that maps to an RDA URI."," <ManifestationIRI> has related work of manifestation <$1|$0>
<$1|$0> has AP for Associated Work ""value of a, c, d, e, f, g, h, k, l, n, p, q, s, t, u""",,
36,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,Identified and approved source in $2,no $1 or $0 that can be converted into a rwo uri,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AAP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u"" in order of appearance
<NomenIRI> has scheme of nomen <IRI for $2>",,
37,first pass,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,Identified and unapproved source in $2,no $1 or $0 that can be converted into a rwo uri,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u"" in order of appearance
<NomenIRI> has scheme of nomen <transform>",,
38,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,#,,,,"a, c, d, e, f, g, h, k, l, n, p, q, s, t, u",,,,$t,name and title portions,The record is not describing an aggregate manifestation,check aggregate markers ,"IF an Associated added entry field is provided 
",,no $2 and  040 $b = eng,no $1 or $0 that can be converted into a rwo uri,, https://www.rdaregistry.info/Elements/m/object/#P30265,has related work of manifestation,structured , ," <ManifestationIRI> has related work of manifestation <Associated WorkIRI>
<Associated WorkIRI> has AAP for Associated Work <NomenIRI>
<NomenIRI> has nomen string ""value of a, c, d, e, f, g, k, l, n, p, q, s, t, u"" in order of appearance
<NomenIRI> has scheme of nomen <http://id.loc.gov/authorities/names >",,
