,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CategoryOfMaterial,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,Unnamed: 20,Unnamed: 21,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
22,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,008/11-14,*,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,/[date2] | u=blank,,
23,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,*,008/11-14,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,[date1]/ | u=blank,,
24,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,d,008/07-10,,008/11-14,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Ceased publication. Publication start and end dates unknown.""",,
25,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,e,008/07-10,*,008/11-14,*,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,date1 + date2 normalized yyyy-mm-dd | u=blank,,
26,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,008/11-14,*,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,/[date] | u=blank,,
27,reviewed,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,*,008/11-14,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,[date]/ | u=blank,,
28,reviewed,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,i,008/07-10,,008/11-14,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Dates of collection unknown.""",,
29,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,008/11-14,*,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,/[date] | u=blank,,
30,reviewed,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,*,008/11-14,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,[date]/ | u=blank,,
31,reviewed,,,,,,,,,,"07-10, 11-14","Date 1, Date 2",,,,,008 06,m,008/07-10,,008/11-14,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Dates of publication unknown.""",,
32,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,p,008/07-10,*,,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,[date]/.. | u=blank,,
33,reviewed,,,,,,,,,,07-10,Date 1,,,,,008 06,p,008/07-10,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Date of manifestation unknown.""",,
34,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,"07-10, 11-14","Date 1, Date 2",,,,,008 06,q,008/07-10,*,008/11-14,*,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,[date1..date2] | u=blank | partial blank = fill in blanks as X,,
35,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,r,008/07-10,*,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,,,
36,reviewed,,,,,,,,,,07-10,Date 1,,,,,008 06,r,008/07-10,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Date of publication unknown.""",,
37,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,s,008/07-10,*,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,,,
38,reviewed,,,,,,,,,,07-10,Date 1,,,,,008 06,s,008/07-10,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Date of publication unknown.""",,
39,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,t,008/07-10,*,,,http://rdaregistry.info/Elements/m/P30011,has date of publication,structured,,,,
40,reviewed,,,,,,,,,,07-10,Date 1,,,,,008 06,t,008/07-10,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value = ""Date of publication unknown.""",,
41,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,*,,,http://rdaregistry.info/Elements/m/P30278,has date of manifestation,structured,,date1/..,,
42,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,008/07-10,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,unstructured,,"value= ""Continuing resource. Start and end dates unknown.""",,
43,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,c,,,,,,,,,,,
44,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,d,,,,,,,,,,,
45,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,e,,,,,,,,,,,
46,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,i,,,,,,,,,,,
47,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,m,,,,,,,,,,,
48,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,p,,,,,,,,,,,
49,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,q,,,,,,,,,,,
50,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,r,,,,,,,,,,,
51,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,s,,,,,,,,,,,
52,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,t,,,,,,,,,,,
53,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,07-10,Date 1,,,,,008 06,u,,,,,,,,,,,
54,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,c,,,,,,,,,,,
55,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,c,,,,,,,,,,,
56,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
57,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
58,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
59,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
60,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
61,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
62,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
63,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
64,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
65,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
66,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
67,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
68,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
69,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,t,,,,,,,,,,,
70,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,u,,,,,,,,,,,
71,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,u,,,,,,,,,,,
72,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,c,,,,,,,,,,,
73,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,c,,,,,,,,,,,
74,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
75,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
76,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
77,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
78,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
79,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
80,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
81,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
82,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
83,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
84,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
85,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
86,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
87,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,t,,,,,,,,,,,
88,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,u,,,,,,,,,,,
89,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,u,,,,,,,,,,,
90,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,c,,,,,,,,,,,
91,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
92,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,d,,,,,,,,,,,
93,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
94,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,e,,,,,,,,,,,
95,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
96,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,i,,,,,,,,,,,
97,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
98,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,m,,,,,,,,,,,
99,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
100,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
101,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,p,,,,,,,,,,,
102,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
103,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,r,,,,,,,,,,,
104,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,t,,,,,http://rdaregistry.info/Elements/m/P30137,has note on manifestation,structured,,"value = ""Has copyright notice date, phonogram copyright notice date, or deposit date"" + date",,
105,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,008 06,u,,,,,,,,,,,
106,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,,,,,,,,,,,,,,,
107,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,11-14,Date 2,,,u,Date element is totally or partially unknown,,,,,,,,,,"Included in conditions for Date 1, Date 2",,,
108,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/e/P20218,has place of capture,STRUCTURED/IRI,,,,
109,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/e/P20306,has related place of expression,STRUCTURED/IRI,,,,
110,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/m/P30086,has place of production,STRUCTURED/IRI,,,,
111,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/m/P30087,has place of manufacture,STRUCTURED/IRI,,,,
112,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/m/P30088,has place of publication,STRUCTURED/IRI,,,,
113,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/m/P30272,has related place of manifestation,STRUCTURED/IRI,,,,
114,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/m/P30279,has place of manifestation,IRI,,Append code to http://id.loc.gov/vocabulary/countries/ for IRI value,,
115,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/w/P10218,has place of origin of work,STRUCTURED/IRI,,,,
116,delete,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,15-17,"Place of publication, production, or execution",,,,,,,,,,,http://rdaregistry.info/Elements/w/P10316,has related place of work,STRUCTURED/IRI,,,,
117,reviewed,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,35-37,Language,,,,,,,,,,,http://rdaregistry.info/Elements/e/P20006,has language of expression,IRI,,Append code to http://id.loc.gov/vocabulary/languages/ for IRI value | No object property in registry. No range.,,
118,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,#,Not modified,,,,,,,,,,,,,
119,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,|,No attempt to code,,,,,,,,,,,,,
120,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,d,Dashed-on information omitted,,,,,,,,,,,,,
121,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,o,Completely romanized/printed cards romanized,,,,,,,,,,,,,
122,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,r,Completely romanized/printed cards in script,,,,,,,,,,,,,
123,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,s,Shortened,,,,,,,,,,,,,
124,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,38,Modified record,,,x,Missing characters,,,,,,,,,,,,,
125,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,39,Cataloging source,,,#,National bibliographic agency,,,,,,,,,,,,,
126,not mapped,8.0,FIXED-LENGTH DATA ELEMENTS--GENERAL INFORMATION (NR),,,,,,,ALL MATERIALS,39,Cataloging source,,,|,No attempt to code,,,,,,,,,,,,,
